Number,Year,Title,Genre,Rated,Type,imdbRating,Runtime,Director,Writer,Actors,Language,Country,Awards,imdbVotes,imdbID
8945,1991,Once Upon a Time in China,"Action, Adventure, Biography",R,movie,7.4,134 min,Hark Tsui,"Yiu-ming Leung, Elsa Tang, Hark Tsui, Kai-Chi Yuen","Jet Li, Biao Yuen, Rosamund Kwan, Jacky Cheung","Cantonese, English, French",Hong Kong,5 wins & 4 nominations.,"14,037",tt0103285
8946,1987,Blind Chance,Drama,NOT RATED,movie,8,114 min,Krzysztof Kieslowski,Krzysztof Kieslowski,"Boguslaw Linda, Tadeusz Lomnicki, Zbigniew Zapasiewicz, Boguslawa Pawelec",Polish,Poland,2 wins.,"5,131",tt0084549
8949,1970,The Wizard of Gore,Horror,NOT RATED,movie,5.5,95 min,Herschell Gordon Lewis,Allen Kahn (screenplay),"Ray Sager, Judy Cler, Wayne Ratay, Phil Laurenson",English,USA,0,"2,435",tt0066578
8950,1936,King of the Pecos,Western,N/A,movie,6.1,54 min,Joseph Kane,"Bernard McConville (screenplay), Dorrell McGowan (screenplay), Stuart E. McGowan (screenplay), Bernard McConville (original story)","John Wayne, Muriel Evans, Cy Kendall, Jack Rube Clifford",English,USA,0,268,tt0027849
8951,1959,Floating Weeds,Drama,NOT RATED,movie,7.9,119 min,Yasujirô Ozu,"Yasujirô Ozu (screenplay), Kôgo Noda (screenplay)","Ganjirô Nakamura, Machiko Kyô, Ayako Wakao, Hiroshi Kawaguchi",Japanese,Japan,0,"4,919",tt0053390
8952,2001,Soulkeeper,"Action, Adventure, Comedy",R,movie,5.2,105 min,Darin Ferriola,Darin Ferriola,"William Bassett, Howard Berger, Jaime Bergman, Vincent Berry",English,USA,0,"1,029",tt0212867
8954,2002,The Rookie,"Drama, Family, Sport",G,movie,7,127 min,John Lee Hancock,Mike Rich,"Dennis Quaid, Rachel Griffiths, Jay Hernandez, Beth Grant",English,USA,5 wins & 4 nominations.,"26,677",tt0265662
8955,1997,Twilight of the Dark Master,"Animation, Fantasy",UNRATED,movie,5.7,50 min,Akiyuki Shinbo,"Duane Dell'Amico (screenplay), Saki Okuse (comic), Tatsuhiko Urahata (screenplay)","Andrew Philpot, Toshihiko Seki, Masuo Amada, Steve Bulen","Japanese, English",Japan,0,339,tt0279487
8957,1955,Battle Cry,"Drama, Romance, War",APPROVED,movie,6.6,149 min,Raoul Walsh,"Leon Uris (screenplay), Leon Uris (novel)","Van Heflin, Aldo Ray, Mona Freeman, Nancy Olson","English, Japanese, Navajo",USA,0,"1,668",tt0047860
8958,2004,Bill Engvall: Here's Your Sign,Comedy,N/A,movie,7.4,72 min,Michael Drumm,Bill Engvall,Bill Engvall,English,USA,0,472,tt0816435
8960,1989,Crimes and Misdemeanors,"Comedy, Drama",PG-13,movie,8,104 min,Woody Allen,Woody Allen,"Bill Bernstein, Martin Landau, Claire Bloom, Stephanie Roth Haberle","English, Hebrew",USA,Nominated for 3 Oscars. Another 13 wins & 19 nominations.,"43,413",tt0097123
8961,1966,Andrei Rublev,"Biography, Drama, History",NOT RATED,movie,8.4,205 min,Andrei Tarkovsky,"Andrey Konchalovskiy, Andrei Tarkovsky","Anatoliy Solonitsyn, Ivan Lapikov, Nikolay Grinko, Nikolay Sergeev","Russian, Italian, Tatar",Soviet Union,3 wins.,"24,030",tt0060107
8965,2004,The Good,"Action, Comedy",N/A,movie,5.9,87 min,Lasse Spang Olsen,"Kim Bodnia, Lasse Spang Olsen","Kim Bodnia, René Dif, Nicolas Bro, Robert Hansen","Danish, Cantonese, English",Denmark,0,"1,844",tt0392049
8966,2003,Pieces of April,"Comedy, Drama",PG-13,movie,7.1,80 min,Peter Hedges,Peter Hedges,"Katie Holmes, Derek Luke, Oliver Platt, Alison Pill","English, Mandarin",USA,Nominated for 1 Oscar. Another 15 wins & 21 nominations.,"18,093",tt0311648
8972,2000,The Photographer,"Comedy, Drama",R,movie,5.6,91 min,Jeremy Stein,Jeremy Stein,"Reg Rogers, Tina Holmes, Anthony Michael Hall, Marisa Berenson",English,USA,1 win & 1 nomination.,276,tt0240802
8976,1950,Harvey,"Comedy, Drama, Fantasy",NOT RATED,movie,8.1,104 min,Henry Koster,"Mary Chase (from the Pulitzer Prize Play by), Mary Chase (screenplay), Oscar Brodney (screenplay)","James Stewart, Josephine Hull, Peggy Dow, Charles Drake","English, Spanish, Latin",USA,Won 1 Oscar. Another 1 win & 4 nominations.,"44,525",tt0042546
8977,1955,The Ladykillers,"Comedy, Crime",N/A,movie,7.8,91 min,Alexander Mackendrick,William Rose (story and screenplay),"Alec Guinness, Cecil Parker, Herbert Lom, Peter Sellers",English,UK,Nominated for 1 Oscar. Another 2 wins & 2 nominations.,"20,868",tt0048281
8980,1950,Cheaper by the Dozen,"Comedy, Drama, Family",APPROVED,movie,7.1,86 min,Walter Lang,"Lamar Trotti (screen play), Frank B. Gilbreth Jr. (based on the novel by), Ernestine Gilbreth Carey (based on the novel by)","Clifton Webb, Jeanne Crain, Myrna Loy, Betty Lynn",English,USA,0,"3,602",tt0042327
8982,2003,Scooby-Doo and the Legend of the Vampire,"Animation, Comedy, Mystery",N/A,movie,6.6,72 min,Scott Jeralds,Mark Turosz,"Casey Kasem, Frank Welker, Nicole Jaffe, Heather North",English,USA,1 nomination.,"2,201",tt0357139
8983,1980,City of Women,"Comedy, Drama",R,movie,7,139 min,Federico Fellini,"Federico Fellini (story), Bernardino Zapponi (story and screenplay), Brunello Rondi (screenplay)","Marcello Mastroianni, Anna Prucnal, Bernice Stegers, Jole Silvani",Italian,"Italy, France",6 wins.,"4,459",tt0080539
8984,1956,And God Created Woman,"Drama, Romance",PG,movie,6.3,90 min,Roger Vadim,"Roger Vadim, Raoul Lévy","Brigitte Bardot, Curd Jürgens, Jean-Louis Trintignant, Jane Marken","French, English","France, Italy",1 nomination.,"5,439",tt0049189
8985,1995,Houseguest,Comedy,PG,movie,5.9,113 min,Randall Miller,"Michael J. Di Gaetano, Lawrence Gay","Sinbad, Phil Hartman, Kim Greist, Kim Murphy",English,USA,0,"4,540",tt0110066
8987,1999,Universal Soldier: The Return,"Action, Sci-Fi",R,movie,4.1,83 min,Mic Rodgers,"Richard Rothstein (characters), Christopher Leitch (characters), Dean Devlin (characters), William Malone, John Fasano","Jean-Claude Van Damme, Michael Jai White, Heidi Schanz, Xander Berkeley",English,USA,0,"24,421",tt0176269
8989,2001,Save the Last Dance,"Drama, Music, Romance",PG-13,movie,6.2,112 min,Thomas Carter,"Duane Adler (story), Duane Adler (screenplay), Cheryl Edwards (screenplay)","Julia Stiles, Sean Patrick Thomas, Kerry Washington, Fredro Starr",English,USA,6 wins & 7 nominations.,"48,282",tt0206275
8990,1976,Black and White in Color,"Comedy, Drama, War",PG,movie,7,90 min,Jean-Jacques Annaud,"Jean-Jacques Annaud, Georges Conchon","Jean Carmet, Jacques Dufilho, Catherine Rouvel, Jacques Spiesser",French,"Côte d'Ivoire, France, West Germany, Switzerland",Won 1 Oscar. Another 1 nomination.,"1,041",tt0074972
8991,1965,Tokyo Olympiad,"Documentary, Sport",NOT RATED,movie,8,93 min,Kon Ichikawa,"Kon Ichikawa, Yoshio Shirasaka, Shuntarô Tanikawa, Natto Wada","Abebe Bikila, Jack Douglas",Japanese,Japan,4 wins & 2 nominations.,"1,094",tt0059817
8999,2001,Solo Mia,Drama,N/A,movie,6.1,100 min,Javier Balaguer,"Javier Balaguer (screenplay), Álvaro García Mohedano (screenplay)","Sergi López, Paz Vega, Elvira Mínguez, Alberto Jiménez",Spanish,Spain,2 wins & 9 nominations.,450,tt0303120
9003,1980,Private Benjamin,"Comedy, War",R,movie,6.1,109 min,Howard Zieff,"Nancy Meyers, Charles Shyer, Harvey Miller","Goldie Hawn, Eileen Brennan, Armand Assante, Robert Webber",English,USA,Nominated for 3 Oscars. Another 1 win & 3 nominations.,"18,314",tt0081375
9005,1987,The Principal,"Action, Crime, Drama",R,movie,6.2,109 min,Christopher Cain,Frank Deese,"Jim Belushi, Louis Gossett Jr., Rae Dawn Chong, Michael Wright",English,USA,1 nomination.,"6,883",tt0093780
9008,1969,The Reivers,"Comedy, Drama",PG-13,movie,6.9,107 min,Mark Rydell,"William Faulkner (novel), Harriet Frank Jr., Irving Ravetch","Steve McQueen, Sharon Farrell, Ruth White, Michael Constantine",English,USA,Nominated for 2 Oscars. Another 3 nominations.,"2,174",tt0064886
9014,1939,Stagecoach,"Adventure, Romance, Western",NOT RATED,movie,7.9,96 min,John Ford,"Ernest Haycox (original story), Dudley Nichols (screen play)","Claire Trevor, John Wayne, Andy Devine, John Carradine",English,USA,Won 2 Oscars. Another 4 wins & 5 nominations.,"31,457",tt0031971
9015,2004,Cruel Intentions 3,Drama,R,movie,4.7,85 min,Scott Ziehl,Rhett Reese,"Kerr Smith, Kristina Anapau, Nathan Wetherington, Melissa Yvonne Lewis",English,USA,0,"6,586",tt0391891
9016,1997,The Man I Love,"Drama, Romance, Sport",N/A,movie,7.4,91 min,Stéphane Giusti,Stéphane Giusti,"Jean-Michel Portal, Marcial Di Fonzo Bo, Mathilde Seigner, Vittoria Scognamiglio",French,France,0,"1,242",tt0173906
9017,1945,Blood on the Sun,"Drama, Romance, Thriller",APPROVED,movie,6.2,98 min,Frank Lloyd,"Lester Cole (screenplay), Nathaniel Curtis (additional scenes), Garrett Fort (story), Frank Melford (idea)","James Cagney, Sylvia Sidney, Porter Hall, John Emery","English, Japanese",USA,0,"1,382",tt0037547
9018,1973,The Iceman Cometh,Drama,PG,movie,7.4,239 min,John Frankenheimer,"Thomas Quinn Curtiss, Eugene O'Neill (play)","Lee Marvin, Fredric March, Robert Ryan, Jeff Bridges",English,USA,3 wins & 1 nomination.,"1,023",tt0070212
9019,1993,The Ballad of Little Jo,"Drama, Romance, Western",R,movie,6.9,121 min,Maggie Greenwald,Maggie Greenwald,"Suzy Amis, Bo Hopkins, Ian McKellen, David Chung",English,USA,2 nominations.,"1,150",tt0106350
9020,1999,Storm Catcher,"Action, Thriller",R,movie,4.2,95 min,Anthony Hickox,"Bill Gucwa, Ed Masterson","Dolph Lundgren, Mystro Clark, Jon Pennell, Robert Miano",English,USA,0,"1,177",tt0179477
9022,2003,Not on the Lips,"Comedy, Musical, Romance",N/A,movie,6.4,115 min,Alain Resnais,André Barde (libretto: original),"Sabine Azéma, Isabelle Nanty, Audrey Tautou, Pierre Arditi",French,"France, Switzerland",5 wins & 6 nominations.,"1,304",tt0356999
9024,1998,Shadrach,Drama,PG-13,movie,6.5,89 min,Susanna Styron,"William Styron (short story), Susanna Styron (screenplay), Bridget Terry (screenplay)","Martin Sheen, John Franklin Sawyer, Scott Terra, Ginnie Randall",English,USA,0,946,tt0144604
9025,1993,City Hunter,"Action, Comedy, Romance",PG-13,movie,6.5,105 min,Jing Wong,"Tsukasa Hôjô (comic), Jing Wong","Jackie Chan, Joey Wang, Kumiko Goto, Chingmy Yau",Cantonese,"Hong Kong, Japan",0,"7,241",tt0103950
9026,1968,A Midsummer Night's Dream,"Comedy, Fantasy, Romance",N/A,movie,6.5,124 min,Peter Hall,William Shakespeare (play),"Derek Godfrey, Barbara Jefford, Nicholas Selby, Hugh Sullivan",English,"UK, USA",0,507,tt0063297
9028,1992,Jersey Girl,"Comedy, Drama, Romance",PG-13,movie,6.1,95 min,David Burton Morris,Gina Wendkos,"Jami Gertz, Dylan McDermott, Sheryl Lee, Aida Turturro",English,USA,0,"1,143",tt0104550
9029,1997,Nil by Mouth,Drama,R,movie,7.4,128 min,Gary Oldman,Gary Oldman (screenplay),"Ray Winstone, Kathy Burke, Charlie Creed-Miles, Laila Morse",English,"UK, France",Won 1 BAFTA Film Award. Another 8 wins & 8 nominations.,"7,129",tt0119792
9031,1944,Wing and a Prayer,"Action, Drama, War",APPROVED,movie,6.9,97 min,Henry Hathaway,"Jerome Cady (story), Jerome Cady (screenplay)","Don Ameche, Dana Andrews, William Eythe, Charles Bickford",English,USA,0,"1,078",tt0037466
9032,1985,Brewster's Millions,Comedy,PG,movie,6.5,102 min,Walter Hill,"George Barr McCutcheon (based on the novel by), Herschel Weingrod (screenplay), Timothy Harris (screenplay)","Richard Pryor, John Candy, Lonette McKee, Stephen Collins",English,USA,0,"28,703",tt0088850
9034,1951,Early Summer,Drama,NOT RATED,movie,8.3,124 min,Yasujirô Ozu,"Kôgo Noda, Yasujirô Ozu","Setsuko Hara, Chishû Ryû, Chikage Awashima, Kuniko Miyake",Japanese,Japan,7 wins.,"4,601",tt0043313
9035,1999,Forever Mine,"Crime, Drama, Romance",R,movie,5.3,115 min,Paul Schrader,Paul Schrader,"Joseph Fiennes, Ray Liotta, Gretchen Mol, Vincent Laresca",English,"UK, Canada, USA",1 nomination.,"1,846",tt0179182
9036,2003,Dead End,"Horror, Mystery, Thriller",R,movie,6.7,85 min,"Jean-Baptiste Andrea, Fabrice Canepa","Jean-Baptiste Andrea, Fabrice Canepa","Ray Wise, Lin Shaye, Mick Cain, Alexandra Holden",English,France,7 wins & 5 nominations.,"19,655",tt0308152
9037,1970,Love Story,"Drama, Romance",PG,movie,6.9,99 min,Arthur Hiller,Erich Segal,"Ali MacGraw, Ryan O'Neal, John Marley, Ray Milland",English,USA,Won 1 Oscar. Another 9 wins & 16 nominations.,"23,118",tt0066011
9041,1957,Gunfight at the O.K. Corral,"Drama, Western",APPROVED,movie,7.2,122 min,John Sturges,"Leon Uris (screenplay), George Scullin (suggested by an article by)","Burt Lancaster, Kirk Douglas, Rhonda Fleming, Jo Van Fleet",English,USA,Nominated for 2 Oscars. Another 3 wins & 2 nominations.,"10,327",tt0050468
9042,1957,Paths of Glory,"Drama, War",APPROVED,movie,8.5,88 min,Stanley Kubrick,"Stanley Kubrick (screenplay), Calder Willingham (screenplay), Jim Thompson (screenplay), Humphrey Cobb (based on the novel ""Paths of Glory"" by)","Kirk Douglas, Ralph Meeker, Adolphe Menjou, George Macready","English, German, Latin",USA,Nominated for 1 BAFTA Film Award. Another 4 wins & 2 nominations.,"122,642",tt0050825
9043,1981,Arthur,"Comedy, Romance",PG,movie,6.9,97 min,Steve Gordon,Steve Gordon,"Dudley Moore, Liza Minnelli, John Gielgud, Geraldine Fitzgerald",English,USA,Won 2 Oscars. Another 9 wins & 6 nominations.,"21,574",tt0082031
9044,2002,Fidel,"Biography, Drama",N/A,movie,6.5,206 min,David Attwood,Stephen Tolkin (teleplay),"Víctor Huggo Martin, Gael García Bernal, Patricia Velasquez, Cecilia Suárez",English,USA,3 nominations.,"1,122",tt0258351
9049,1997,Boogie Nights,Drama,R,movie,7.9,155 min,Paul Thomas Anderson,Paul Thomas Anderson,"Luis Guzmán, Burt Reynolds, Julianne Moore, Rico Bueno",English,USA,Nominated for 3 Oscars. Another 29 wins & 49 nominations.,"190,636",tt0118749
9051,1980,Caddyshack,"Comedy, Romance, Sport",R,movie,7.4,98 min,Harold Ramis,"Brian Doyle-Murray, Harold Ramis, Douglas Kenney","Chevy Chase, Rodney Dangerfield, Ted Knight, Michael O'Keefe",English,USA,1 nomination.,"82,131",tt0080487
9056,1985,Into the Night,"Comedy, Drama, Thriller",R,movie,6.5,115 min,John Landis,Ron Koslow,"Jeff Goldblum, Michelle Pfeiffer, Stacey Pickren, Carmen Argenziano","English, Persian, French, Spanish",USA,1 win.,"7,905",tt0089346
9058,1980,Bronco Billy,"Action, Adventure, Comedy",PG,movie,6,116 min,Clint Eastwood,Dennis Hackin,"Clint Eastwood, Sondra Locke, Geoffrey Lewis, Scatman Crothers",English,USA,1 nomination.,"8,361",tt0080472
9059,1994,A Troll in Central Park,"Animation, Adventure, Comedy",G,movie,5.3,76 min,"Don Bluth, Gary Goldman","Stu Krieger (screenplay), Don Bluth (story), Gary Goldman (story), John Pomeroy (story), T.J. Kuenster (story), Stu Krieger (story)","Dom DeLuise, Cloris Leachman, Charles Nelson Reilly, Jonathan Pryce",English,"Ireland, USA",0,"4,463",tt0108395
9060,1976,The Killer Meteors,"Action, Thriller",PG-13,movie,5.2,104 min,Wei Lo,Lung Ku (screenplay),"Yu Wang, Jackie Chan, Yu-Li Lan, Ling Lung Yu",Mandarin,"Hong Kong, Taiwan",0,608,tt0074747
9061,1948,Rope,"Crime, Drama, Film-Noir",APPROVED,movie,8,80 min,Alfred Hitchcock,"Hume Cronyn (adapted by), Patrick Hamilton (from the play by), Arthur Laurents (screenplay)","John Dall, Farley Granger, Edith Evanson, Douglas Dick",English,USA,3 nominations.,"96,333",tt0040746
9064,1997,Colors Straight Up,Documentary,N/A,movie,7.7,N/A,Michèle Ohayon,Michèle Ohayon,"LaToya Howlett, Oscar Sierra",English,USA,Nominated for 1 Oscar. Another 8 wins & 2 nominations.,42,tt0126249
9065,1996,Sunset Park,"Drama, Sport",R,movie,5.9,99 min,Steve Gomer,"Seth Zvi Rosenfeld, Kathleen McGhee-Anderson","Rhea Perlman, Fredro Starr, Carol Kane, Terrence Howard",English,USA,0,"1,256",tt0117784
9066,1979,Meteor,"Action, Drama, Sci-Fi",PG,movie,4.9,108 min,Ronald Neame,"Stanley Mann (screenplay), Edmund H. North (screenplay), Edmund H. North (story)","Sean Connery, Natalie Wood, Karl Malden, Brian Keith","English, Russian","USA, Hong Kong",0,"5,265",tt0079550
9068,1985,Sylvester,"Drama, Family",PG,movie,6.5,104 min,Tim Hunter,Carol Sobieski,"Richard Farnsworth, Melissa Gilbert, Michael Schoeffling, Constance Towers",English,USA,1 nomination.,297,tt0090112
9070,1992,Memoirs of an Invisible Man,"Comedy, Romance, Sci-Fi",PG-13,movie,5.9,99 min,John Carpenter,"H.F. Saint (book), Robert Collector (screenplay), Dana Olsen (screenplay), William Goldman (screenplay)","Chevy Chase, Daryl Hannah, Sam Neill, Michael McKean",English,"USA, France",5 nominations.,"17,563",tt0104850
9072,1997,Fierce Creatures,Comedy,PG-13,movie,6.4,93 min,"Fred Schepisi, Robert Young","John Cleese, Iain Johnstone, Terry Jones (idea for ""The Fierce Animal Policy""), Michael Palin (idea for ""The Fierce Animal Policy"")","John Cleese, Jamie Lee Curtis, Kevin Kline, Michael Palin",English,"UK, USA",0,"19,587",tt0119115
9073,2002,Dawg,Drama,R,movie,5.4,N/A,Brian Averill,"Allen Cognata (screenplay), Greg Russo (contributing writer)","Drena De Niro, J-King, Portia Cue, Paul Diomede",N/A,USA,1 win.,96,tt0332079
9074,1986,Heartbreak Ridge,"Action, Comedy, Drama",R,movie,6.8,130 min,Clint Eastwood,James Carabatsos,"Clint Eastwood, Marsha Mason, Everett McGill, Moses Gunn","English, Spanish",USA,Nominated for 1 Oscar. Another 2 wins.,"30,519",tt0091187
9075,1969,Go,Drama,N/A,movie,7.8,65 min,Kôji Wakamatsu,"Masao Adachi (screenplay), Kazuo 'Gaira' Komizu (screenplay)","Michio Akiyama, Hiroshi Imaizumi, Mimi Kozakura",Japanese,Japan,0,"1,957",tt0065233
9077,2003,Live Forever,"Documentary, Music",R,movie,7.1,82 min,John Dower,John Dower,"Noel Gallagher, Liam Gallagher, Damon Albarn, Jarvis Cocker",English,UK,0,"1,019",tt0358569
9078,2003,Wheel of Time,Documentary,NOT RATED,movie,7.2,80 min,Werner Herzog,Werner Herzog,"The Dalai Lama, Lama Lhundup Woeser, Takna Jigme Sangpo, Matthieu Ricard","German, English, Tibetan","Germany, Austria, Italy",0,"1,627",tt0331080
9079,2004,Shiner,Drama,UNRATED,movie,3,89 min,Christian Calson,Christian Calson,"Scott Parietti, Derris Nile, Nicholas T. King, David Zelina",English,USA,0,282,tt0368268
9080,2000,Autumn in New York,"Drama, Romance",PG-13,movie,5.5,103 min,Joan Chen,Allison Burnett,"Richard Gere, Winona Ryder, Anthony LaPaglia, Elaine Stritch",English,USA,3 nominations.,"20,394",tt0174480
9081,1984,Sunday in the Country,Drama,G,movie,7.9,90 min,Bertrand Tavernier,"Pierre Bost (novel), Bertrand Tavernier, Colo Tavernier","Louis Ducreux, Michel Aumont, Sabine Azéma, Geneviève Mnich",French,France,Nominated for 1 Golden Globe. Another 13 wins & 11 nominations.,"1,641",tt0088318
9082,1973,The Last of Sheila,"Crime, Drama, Mystery",PG,movie,7.4,120 min,Herbert Ross,"Stephen Sondheim, Anthony Perkins","Richard Benjamin, Dyan Cannon, James Coburn, Joan Hackett","English, French",USA,1 win.,"3,554",tt0070291
9083,1967,Ram Aur Shyam,"Comedy, Drama, Family",N/A,movie,7.4,171 min,Tapi Chanakya,"Kaushal Bharati (dialogue), Narasa Raju D.V. (screenplay), Narasa Raju D.V. (story)","Dilip Kumar, Waheeda Rehman, Mumtaz, Baby Farida",Hindi,India,1 win.,588,tt0062177
9086,1993,Bare Exposure,Comedy,R,movie,4.3,86 min,Rafe M. Portilo,Jalee Bailey,"Tammy Parks, Ashlie Rhey, Andrea Suzzane, Jack Slater",English,USA,0,167,tt0106359
9087,1992,Hero,"Comedy, Drama, Romance",PG-13,movie,6.5,119 min,Stephen Frears,"Laura Ziskin (story), Alvin Sargent (story), David Webb Peoples (story), David Webb Peoples (screenplay)","Dustin Hoffman, Geena Davis, Andy Garcia, Joan Cusack",English,USA,0,"17,720",tt0104412
9089,1975,The Apple Dumpling Gang,"Family, Comedy, Western",G,movie,6.3,100 min,Norman Tokar,"Don Tait (screenplay), Jack M. Bickham (book)","Bill Bixby, Susan Clark, Don Knotts, Tim Conway",English,USA,0,"3,612",tt0072653
9090,2001,Trouble Every Day,"Horror, Thriller, Drama",NOT RATED,movie,6.1,101 min,Claire Denis,"Claire Denis, Jean-Pol Fargeau","Vincent Gallo, Tricia Vessey, Béatrice Dalle, Alex Descas","French, English","France, Germany, Japan",3 nominations.,"5,225",tt0204700
9092,1994,Miracle on 34th Street,"Family, Fantasy",PG,movie,6.4,114 min,Les Mayfield,"Valentine Davies (story), George Seaton, George Seaton (screenplay), John Hughes (screenplay)","Richard Attenborough, Elizabeth Perkins, Dylan McDermott, J.T. Walsh","English, American Sign Language, Dutch, Italian, Russian, Swahili",USA,1 nomination.,"21,572",tt0110527
9095,1997,In the Company of Men,"Comedy, Drama",R,movie,7.3,97 min,Neil LaBute,"Neil LaBute (play), Neil LaBute (screenplay)","Aaron Eckhart, Stacy Edwards, Matt Malloy, Michael Martin","English, American Sign Language","Canada, USA",14 wins & 11 nominations.,"11,618",tt0119361
9097,1986,Gung Ho,"Comedy, Drama",PG-13,movie,6.2,111 min,Ron Howard,"Edwin Blum (story), Lowell Ganz (story), Babaloo Mandel (story), Lowell Ganz (screenplay), Babaloo Mandel (screenplay)","Michael Keaton, Gedde Watanabe, George Wendt, Mimi Rogers",English,USA,1 win.,"9,373",tt0091159
9098,1988,A Cry in the Dark,Drama,PG-13,movie,6.9,120 min,Fred Schepisi,"John Bryson (novel), Robert Caswell (screenplay), Fred Schepisi (screenplay)","Meryl Streep, Sam Neill, Dale Reeves, David Hoflin",English,"Australia, USA",Nominated for 1 Oscar. Another 8 wins & 11 nominations.,"6,863",tt0094924
9106,1944,Murder,"Crime, Drama, Film-Noir",APPROVED,movie,7.6,95 min,Edward Dmytryk,"John Paxton (screenplay), Raymond Chandler (novel)","Dick Powell, Claire Trevor, Anne Shirley, Otto Kruger",English,USA,1 win.,"8,846",tt0037101
9108,2002,Love Liza,"Comedy, Drama",R,movie,7,90 min,Todd Louiso,Gordy Hoffman (screenplay),"Philip Seymour Hoffman, J.D. Walsh, Jimmy Raskin, Kathy Bates",English,"France, Germany, USA",2 wins & 3 nominations.,"6,315",tt0282698
9109,1988,Cocoon: The Return,"Adventure, Comedy, Mystery",PG,movie,5.3,116 min,Daniel Petrie,"David Saperstein (characters), Stephen McPherson (story), Elizabeth Bradley (story), Stephen McPherson (screenplay)","Don Ameche, Wilford Brimley, Courteney Cox, Hume Cronyn",English,USA,4 nominations.,"12,190",tt0094890
9110,1998,The Horse Whisperer,"Drama, Romance, Western",PG-13,movie,6.6,170 min,Robert Redford,"Nick Evans (novel), Eric Roth (screenplay), Richard LaGravenese (screenplay)","Robert Redford, Kristin Scott Thomas, Sam Neill, Dianne Wiest",English,USA,Nominated for 1 Oscar. Another 4 wins & 18 nominations.,"32,666",tt0119314
9111,1997,Kiss the Girls,"Crime, Drama, Mystery",R,movie,6.6,115 min,Gary Fleder,"James Patterson (novel), David Klass (screenplay)","Morgan Freeman, Ashley Judd, Cary Elwes, Alex McArthur","English, Mandarin",USA,5 nominations.,"51,167",tt0119468
9112,1999,The Corruptor,"Action, Crime, Drama",R,movie,6,110 min,James Foley,Robert Pucci,"Yun-Fat Chow, Mark Wahlberg, Ric Young, Paul Ben-Victor","English, Cantonese",USA,1 nomination.,"15,423",tt0142192
9113,1979,A Little Romance,"Adventure, Comedy, Romance",PG,movie,7.6,110 min,George Roy Hill,"Allan Burns (screenplay), Claude Klotz (novel)","Laurence Olivier, Diane Lane, Thelonious Bernard, Arthur Hill","English, French, Italian","France, USA",Won 1 Oscar. Another 4 wins & 5 nominations.,"4,048",tt0079477
9114,2003,Killer Flood: The Day the Dam Broke,"Action, Drama, Thriller",N/A,movie,3.8,120 min,Doug Campbell,"Peter Beckwith (story), Joseph Broido (story), Doug Campbell (screenplay), Doug Campbell (story)","Joe Lando, Matthew Ewald, Michele Greene, Christopher Kriesa",English,USA,0,507,tt0338034
9116,1994,With Honors,"Comedy, Drama",PG-13,movie,6.7,103 min,Alek Keshishian,William Mastrosimone,"Joe Pesci, Brendan Fraser, Moira Kelly, Patrick Dempsey",English,USA,Nominated for 1 Golden Globe. Another 2 nominations.,"11,084",tt0111732
9117,1997,Virasat,"Drama, Family, Musical",N/A,movie,7.5,165 min,Priyadarshan,"Kamal Haasan (story), Vinay Shukla (dialogue), Vinay Shukla (screenplay)","Anil Kapoor, Tabu, Pooja Batra, Milind Gunaji","Hindi, English",India,8 wins & 2 nominations.,"1,788",tt0120456
9120,1963,The Sword in the Stone,"Animation, Adventure, Comedy",G,movie,7.2,79 min,Wolfgang Reitherman,"Bill Peet (story), T.H. White (based on the book by)","Sebastian Cabot, Karl Swenson, Rickie Sorensen, Junius Matthews",English,USA,Nominated for 1 Oscar. Another 1 win.,"66,278",tt0057546
9121,1954,Apache,"Romance, Western",NOT RATED,movie,6.4,91 min,Robert Aldrich,"James R. Webb (written for the screen by), Paul Wellman (novel)","Burt Lancaster, Jean Peters, John McIntire, Charles Bronson",English,USA,0,"2,875",tt0046719
9122,1933,Counsellor at Law,Drama,TV-G,movie,7.6,82 min,William Wyler,"Elmer Rice (play), Elmer Rice (screenplay)","John Barrymore, Bebe Daniels, Doris Kenyon, Isabel Jewell","English, Italian, Yiddish",USA,0,865,tt0023911
9124,1996,Underworld,"Comedy, Thriller",R,movie,4.9,95 min,Roger Christian,Larry Bishop,"Denis Leary, Joe Mantegna, Annabella Sciorra, Larry Bishop",English,"USA, Canada",1 nomination.,586,tt0120414
9125,2001,Hearts in Atlantis,"Drama, Mystery",PG-13,movie,6.9,101 min,Scott Hicks,"Stephen King (book), William Goldman (screenplay)","Anthony Hopkins, Anton Yelchin, Hope Davis, Mika Boorem",English,USA,2 wins & 8 nominations.,"30,553",tt0252501
9126,2002,Sabretooth,"Action, Adventure, Horror",R,movie,3.4,90 min,James D.R. Hickox,"Scott Vandiver (concept), Tom Woosley","David Keith, Vanessa Angel, John Rhys-Davies, Jenna Gering",English,USA,0,"1,570",tt0284445
9131,1990,Air America,"Action, Comedy",R,movie,5.7,113 min,Roger Spottiswoode,"Christopher Robbins (book), John Eskow (screenplay), Richard Rush (screenplay)","Mel Gibson, Robert Downey Jr., Nancy Travis, Ken Jenkins","English, Lao",USA,1 nomination.,"22,005",tt0099005
9132,1991,L.A. Story,"Comedy, Drama, Fantasy",PG-13,movie,6.7,95 min,Mick Jackson,Steve Martin,"Steve Martin, Victoria Tennant, Richard E. Grant, Marilu Henner",English,USA,0,"25,388",tt0102250
