Number,Year,Title,Genre,Rated,Type,imdbRating,Runtime,Director,Writer,Actors,Language,Country,Awards,imdbVotes,imdbID,NetflixRating
13561,2003.0,Monsieur Ibrahim,"Comedy, Drama",R,movie,7.5,95 min,François Dupeyron,"François Dupeyron, Eric-Emmanuel Schmitt (novel), Eric-Emmanuel Schmitt (screenplay)","Omar Sharif, Pierre Boulanger, Gilbert Melki, Isabelle Renauld","French, Turkish",France,Nominated for 1 Golden Globe. Another 5 wins & 5 nominations.,"9,426",tt0329388,3.0
13602,1982.0,The Man from Snowy River,"Adventure, Drama, Family",PG,movie,7.3,102 min,George Miller,"A.B. 'Banjo' Paterson (poem), Cul Cullen (script), John Dixon (screenplay)","Tom Burlinson, Terence Donovan, Kirk Douglas, Tommy Dysart",English,Australia,Nominated for 1 Golden Globe. Another 2 wins & 2 nominations.,"5,967",tt0084296,4.0
13827,2001.0,Riding in Cars with Boys,"Biography, Comedy, Drama",PG-13,movie,6.4,132 min,Penny Marshall,"Beverly D'Onofrio (book), Morgan Ward (screenplay)","Drew Barrymore, Steve Zahn, Adam Garcia, Brittany Murphy",English,USA,2 wins & 2 nominations.,"22,536",tt0200027,4.0
14047,2003.0,Tears of the Sun,"Action, Drama, Thriller",R,movie,6.6,121 min,Antoine Fuqua,"Alex Lasker, Patrick Cirillo","Bruce Willis, Monica Bellucci, Cole Hauser, Eamonn Walker",English,USA,2 nominations.,"94,464",tt0314353,3.0
14096,2003.0,Step Into Liquid,"Documentary, Sport",PG,movie,7.5,88 min,Dana Brown,Dana Brown,"Robert August, Rochelle Ballard, Shawn Barron, Layne Beachley",English,USA,2 nominations.,"2,332",tt0308508,4.0
14131,2003.0,Dickie Roberts: Former Child Star,Comedy,PG-13,movie,5.6,98 min,Sam Weisman,"Fred Wolf, David Spade","David Spade, Mary McCormack, Craig Bierko, Scott Terra",English,USA,1 win & 1 nomination.,"11,831",tt0325258,3.0
14312,1993.0,Jurassic Park,"Adventure, Sci-Fi, Thriller",PG-13,movie,8.1,127 min,Steven Spielberg,"Michael Crichton (novel), Michael Crichton (screenplay), David Koepp (screenplay)","Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough","English, Spanish",USA,Won 3 Oscars. Another 28 wins & 17 nominations.,"621,209",tt0107290,3.0
14367,1998.0,Lethal Weapon 4,"Action, Crime, Thriller",R,movie,6.6,127 min,Richard Donner,"Shane Black (characters), Jonathan Lemkin (story), Alfred Gough (story), Miles Millar (story), Channing Gibson (screenplay)","Mel Gibson, Danny Glover, Joe Pesci, Rene Russo","English, Cantonese, Mandarin",USA,4 wins & 11 nominations.,"128,012",tt0122151,3.0
14382,1987.0,Raising Arizona,"Comedy, Crime",PG-13,movie,7.4,94 min,"Joel Coen, Ethan Coen","Ethan Coen, Joel Coen","Nicolas Cage, Holly Hunter, Trey Wilson, John Goodman",English,USA,4 nominations.,"101,798",tt0093822,2.0
14410,2002.0,Spider-Man,"Action, Adventure, Romance",PG-13,movie,7.3,121 min,Sam Raimi,"Stan Lee (Marvel comic book), Steve Ditko (Marvel comic book), David Koepp (screenplay)","Tobey Maguire, Willem Dafoe, Kirsten Dunst, James Franco",English,USA,Nominated for 2 Oscars. Another 14 wins & 56 nominations.,"550,977",tt0145487,3.0
14476,2004.0,Barbershop 2: Back in Business,"Comedy, Drama",PG-13,movie,5.7,106 min,Kevin Rodney Sullivan,"Mark Brown (characters), Don D. Scott","Ice Cube, Cedric the Entertainer, Sean Patrick Thomas, Eve",English,USA,2 wins & 10 nominations.,"10,375",tt0337579,3.0
14576,2003.0,DysFunktional Family,"Comedy, Documentary",R,movie,6.6,89 min,George Gallo,Eddie Griffin (head writer),"Eddie Griffin, Joe Howard, Matthew Brent, Robert Noble",English,USA,0,762,tt0337996,4.0
14698,2002.0,White Oleander,Drama,PG-13,movie,7.2,109 min,Peter Kosminsky,"Janet Fitch (novel), Mary Agnes Donoghue (screenplay)","Amy Aquino, John Billingsley, Elisa Bocanegra, Darlene Bohorquez","English, Russian",USA,3 wins & 7 nominations.,"25,769",tt0283139,4.0
14759,2002.0,K-19: The Widowmaker,"Drama, History, Thriller",PG-13,movie,6.7,138 min,Kathryn Bigelow,"Louis Nowra (story), Christopher Kyle (screenplay)","Sam Spruell, Peter Stebbings, Christian Camargo, Roman Podhora","English, Russian","UK, Germany, USA, Canada",1 win & 2 nominations.,"49,715",tt0267626,3.0
14867,2000.0,King of the Jungle,"Crime, Drama, Thriller",R,movie,6.2,87 min,Seth Zvi Rosenfeld,Seth Zvi Rosenfeld,"John Leguizamo, Rosie Perez, Julie Carmen, Cliff Gorman",English,USA,3 nominations.,459,tt0177888,4.0
14918,2001.0,Gosford Park,"Drama, Mystery",R,movie,7.3,131 min,Robert Altman,"Julian Fellowes, Robert Altman (based upon an idea by), Bob Balaban (based upon an idea by)","Maggie Smith, Michael Gambon, Kristin Scott Thomas, Camilla Rutherford",English,"UK, USA, Italy",Won 1 Oscar. Another 31 wins & 73 nominations.,"65,436",tt0280707,3.0
14940,2004.0,Without a Paddle,"Adventure, Comedy, Mystery",PG-13,movie,5.9,95 min,Steven Brill,"Fred Wolf (story), Harris Goldberg (story), Tom Nursall (story), Jay Leggett (screenplay), Mitch Rouse (screenplay)","Matthew Price, Andrew Hampton, Jarred Rumbold, Carl Snell",English,"USA, New Zealand",0,"37,733",tt0364751,3.0
14999,2003.0,Monster,"Biography, Crime, Drama",R,movie,7.3,109 min,Patty Jenkins,Patty Jenkins,"Charlize Theron, Christina Ricci, Bruce Dern, Lee Tergesen",English,"USA, Germany",Won 1 Oscar. Another 26 wins & 23 nominations.,"106,721",tt0340855,4.0
15107,2001.0,Ocean's Eleven,"Crime, Thriller",PG-13,movie,7.8,116 min,Steven Soderbergh,"George Clayton Johnson, Jack Golden Russell, Harry Brown, Charles Lederer, Ted Griffin (screenplay)","George Clooney, Cecelia Ann Birt, Paul L. Nolan, Carol Florence","English, Italian, Cantonese",USA,4 wins & 20 nominations.,"404,702",tt0240772,3.0
15116,2004.0,Miracle,"Biography, Drama, History",PG,movie,7.5,135 min,Gavin O'Connor,Eric Guggenheim,"Kurt Russell, Patricia Clarkson, Noah Emmerich, Sean McCann",English,"USA, Canada",1 win & 3 nominations.,"36,794",tt0349825,4.0
15151,2004.0,Walking Tall,"Action, Crime",PG-13,movie,6.2,86 min,Kevin Bray,"Mort Briskin (earlier screenplay), David Klass (screenplay), Channing Gibson (screenplay), David Levien (screenplay), Brian Koppelman (screenplay)","Michael Bowen, Johnny Knoxville, Dwayne Johnson, Neal McDonough",English,USA,2 nominations.,"53,708",tt0351977,4.0
15205,2004.0,The Day After Tomorrow,"Action, Adventure, Sci-Fi",PG-13,movie,6.4,124 min,Roland Emmerich,"Roland Emmerich (story), Roland Emmerich (screenplay), Jeffrey Nachmanoff (screenplay)","Dennis Quaid, Jake Gyllenhaal, Emmy Rossum, Dash Mihok","English, Japanese, French, Arabic, Spanish",USA,Won 1 BAFTA Film Award. Another 5 wins & 11 nominations.,"336,719",tt0319262,4.0
15409,2004.0,Eurotrip,Comedy,R,movie,6.6,93 min,"Jeff Schaffer, Alec Berg, David Mandel","Alec Berg, David Mandel, Jeff Schaffer","Scott Mechlowicz, Jacob Pitts, Kristin Kreuk, Cathy Meils","English, French, German, Italian, Japanese","USA, Czech Republic",2 nominations.,"162,843",tt0356150,3.0
15474,2001.0,Rock Star,"Drama, Music",R,movie,6.2,105 min,Stephen Herek,John Stockwell,"Mark Wahlberg, Jennifer Aniston, Dominic West, Jason Bonham",English,USA,1 nomination.,"34,853",tt0202470,3.0
15481,2001.0,See Spot Run,"Action, Comedy, Crime",PG,movie,5.4,94 min,John Whitesell,"George Gallo (screenplay), Gregory Poirier (screenplay), Dan Baron (screenplay), Chris Faber (screenplay), Andrew Deane (story), Michael Alexander Miller (story), George Gallo (story), Stuart Gibbs (adaptation), Craig Titley (adaptation)","David Arquette, Michael Clarke Duncan, Leslie Bibb, Joe Viterelli","English, American Sign Language","USA, Australia",1 nomination.,"7,476",tt0250720,3.0
15582,2002.0,Sweet Home Alabama,"Comedy, Romance",PG-13,movie,6.2,108 min,Andy Tennant,"Douglas J. Eboch (story), C. Jay Cox (screenplay)","Reese Witherspoon, Josh Lucas, Patrick Dempsey, Candice Bergen",English,USA,3 wins & 6 nominations.,"84,291",tt0256415,3.0
15712,2003.0,Cradle 2 the Grave,"Action, Crime, Drama",R,movie,5.8,101 min,Andrzej Bartkowiak,"John O'Brien (story), John O'Brien (screenplay), Channing Gibson (screenplay)","Jet Li, DMX, Anthony Anderson, Kelly Hu","English, Mandarin, Korean",USA,6 nominations.,"34,969",tt0306685,3.0
15815,2002.0,Changing Lanes,"Drama, Thriller",R,movie,6.5,98 min,Roger Michell,"Chap Taylor (story), Chap Taylor (screenplay), Michael Tolkin (screenplay)","Ben Affleck, Samuel L. Jackson, Kim Staunton, Toni Collette",English,USA,7 nominations.,"57,719",tt0264472,3.0
15887,2004.0,Van Helsing,"Action, Adventure",PG-13,movie,6.0,131 min,Stephen Sommers,Stephen Sommers,"Hugh Jackman, Kate Beckinsale, Richard Roxburgh, David Wenham","English, Latin","USA, Czech Republic",2 wins & 17 nominations.,"198,081",tt0338526,4.0
15919,2004.0,Hellboy,"Action, Fantasy, Horror",PG-13,movie,6.8,122 min,Guillermo del Toro,"Guillermo del Toro (screenplay), Guillermo del Toro (screen story), Peter Briggs (screen story), Mike Mignola (comic books)","Ron Perlman, John Hurt, Selma Blair, Rupert Evans","English, Russian",USA,3 wins & 22 nominations.,"246,478",tt0167190,3.0
15969,2001.0,Out Cold,"Comedy, Sport",PG-13,movie,6.3,89 min,"Brendan Malloy, Emmett Malloy",Jon Zack,"Flex Alexander, A.J. Cook, David Denman, Caroline Dhavernas",English,USA,0,"14,718",tt0253798,3.0
16082,2004.0,13 Going on 30,"Comedy, Fantasy, Romance",PG-13,movie,6.1,98 min,Gary Winick,"Josh Goldsmith, Cathy Yuspa","Jennifer Garner, Mark Ruffalo, Judy Greer, Andy Serkis","English, Portuguese",USA,11 nominations.,"123,478",tt0337563,3.0
16209,2001.0,Enigma,"Drama, Mystery, Romance",R,movie,6.4,119 min,Michael Apted,"Robert Harris (novel), Tom Stoppard (screenplay)","Dougray Scott, Kate Winslet, Saffron Burrows, Jeremy Northam","English, German","UK, USA, Germany, Netherlands",3 wins & 5 nominations.,"17,760",tt0157583,3.0
16236,2000.0,The Gift,"Drama, Fantasy, Horror",R,movie,6.7,111 min,Sam Raimi,"Billy Bob Thornton, Tom Epperson","Cate Blanchett, Giovanni Ribisi, Keanu Reeves, Katie Holmes",English,USA,8 nominations.,"52,566",tt0219699,4.0
16262,2005.0,Assault on Precinct 13,"Action, Crime, Drama",R,movie,6.3,109 min,Jean-François Richet,"John Carpenter (earlier film), James DeMonaco (screenplay)","Ethan Hawke, Laurence Fishburne, Gabriel Byrne, Maria Bello","English, Serbian","USA, France",1 win & 2 nominations.,"66,198",tt0398712,3.0
16286,2002.0,Red Dragon,"Crime, Drama, Thriller",R,movie,7.2,124 min,Brett Ratner,"Thomas Harris (novel), Ted Tally (screenplay)","Anthony Hopkins, Edward Norton, Ralph Fiennes, Harvey Keitel","English, French","Germany, USA",4 wins & 10 nominations.,"204,843",tt0289765,3.0
16357,2005.0,Hide and Seek,"Drama, Horror, Mystery",R,movie,5.9,101 min,John Polson,Ari Schlossberg,"Robert De Niro, Dakota Fanning, Famke Janssen, Elisabeth Shue",English,"USA, Germany",1 win & 5 nominations.,"70,506",tt0382077,3.0
16380,2004.0,Laws of Attraction,"Comedy, Romance",PG-13,movie,5.9,90 min,Peter Howitt,"Aline Brosh McKenna (story), Aline Brosh McKenna (screenplay), Robert Harling (screenplay)","Pierce Brosnan, Julianne Moore, Michael Sheen, Parker Posey",English,"Ireland, UK, Germany",2 nominations.,"18,916",tt0323033,4.0
16390,2002.0,Panic Room,"Crime, Drama, Thriller",R,movie,6.8,112 min,David Fincher,David Koepp,"Jodie Foster, Kristen Stewart, Forest Whitaker, Dwight Yoakam",English,USA,1 win & 9 nominations.,"208,325",tt0258000,3.0
16565,2001.0,K-Pax,"Drama, Mystery, Sci-Fi",PG-13,movie,7.4,120 min,Iain Softley,"Gene Brewer (novel), Charles Leavitt (screenplay)","Kevin Spacey, Jeff Bridges, Mary McCormack, Alfre Woodard",English,"USA, Germany",3 nominations.,"150,311",tt0272152,4.0
16641,2001.0,Corky Romano,"Comedy, Crime",PG-13,movie,4.6,86 min,Rob Pritts,"David Garrett, Jason Ward","Chris Kattan, Vinessa Shaw, Peter Falk, Peter Berg","English, Vietnamese, Spanish, Thai",USA,1 nomination.,"10,928",tt0250310,3.0
16707,2003.0,Old School,Comedy,R,movie,7.2,88 min,Todd Phillips,"Court Crandall (story), Todd Phillips (story), Scot Armstrong (story), Todd Phillips (screenplay), Scot Armstrong (screenplay)","Luke Wilson, Will Ferrell, Vince Vaughn, Jeremy Piven",English,USA,5 nominations.,"186,697",tt0302886,5.0
16887,2002.0,Paid in Full,"Drama, Action, Crime",R,movie,7.1,97 min,Charles Stone III,"Azie Faison Jr. (earlier screenplay), Austin Phillips (earlier screenplay), Matthew Cirulnick (screenplay), Thulani Davis (screenplay)","Wood Harris, Mekhi Phifer, Kevin Carroll, Esai Morales",English,USA,1 nomination.,"7,197",tt0259484,3.0
16930,2002.0,The Tuxedo,"Action, Comedy, Sci-Fi",PG-13,movie,5.3,98 min,Kevin Donovan,"Phil Hay (story), Matt Manfredi (story), Michael J. Wilson (story), Michael J. Wilson (screenplay), Michael Leeson (screenplay)","Jackie Chan, Jennifer Love Hewitt, Jason Isaacs, Debi Mazar","English, Cantonese",USA,2 wins & 1 nomination.,"62,851",tt0290095,2.0
16969,2001.0,Donnie Darko,"Drama, Sci-Fi, Thriller",R,movie,8.1,113 min,Richard Kelly,Richard Kelly,"Jake Gyllenhaal, Holmes Osborne, Maggie Gyllenhaal, Daveigh Chase",English,USA,11 wins & 15 nominations.,"588,169",tt0246578,3.0
17023,2001.0,Bandits,"Comedy, Crime, Drama",PG-13,movie,6.6,123 min,Barry Levinson,Harley Peyton,"Bruce Willis, Billy Bob Thornton, Cate Blanchett, Troy Garity",English,USA,Nominated for 2 Golden Globes. Another 4 wins & 5 nominations.,"57,343",tt0219965,5.0
17207,2003.0,Veronica Guerin,"Biography, Crime, Drama",R,movie,6.9,98 min,Joel Schumacher,"Carol Doyle (story), Carol Doyle (screenplay), Mary Agnes Donoghue (screenplay)","Cate Blanchett, Gerard McSorley, Ciarán Hinds, Brenda Fricker",English,"Ireland, UK, USA",Nominated for 1 Golden Globe. Another 3 wins & 13 nominations.,"16,295",tt0312549,4.0
17330,2004.0,The Punisher,"Action, Crime, Drama",R,movie,6.5,124 min,Jonathan Hensleigh,"Jonathan Hensleigh, Michael France","A. Russell Andrews, Omar Avila, James Carpinello, Mark Collie",English,"USA, Germany",1 win & 5 nominations.,"124,854",tt0330793,3.0
17358,2002.0,Narc,"Crime, Drama, Mystery",R,movie,7.2,105 min,Joe Carnahan,Joe Carnahan,"Dan Leis, Jason Patric, Lloyd Adams, Meagan Issa","English, Spanish","USA, Canada",1 win & 8 nominations.,"34,311",tt0272207,3.0
17361,2004.0,Johnson Family Vacation,Comedy,PG-13,movie,4.3,97 min,Christopher Erskin,"Todd R. Jones, Earl Richey Jones","Cedric the Entertainer, Vanessa Williams, Solange Knowles, Shad Moss",English,USA,3 nominations.,"5,986",tt0359517,3.0
17387,2002.0,Secretary,"Comedy, Drama, Romance",R,movie,7.1,104 min,Steven Shainberg,"Erin Cressida Wilson (screenplay), Mary Gaitskill (short story), Steven Shainberg (story adaptation), Erin Cressida Wilson (story adaptation)","James Spader, Maggie Gyllenhaal, Jeremy Davies, Lesley Ann Warren",English,USA,Nominated for 1 Golden Globe. Another 15 wins & 25 nominations.,"68,546",tt0274812,4.0
17472,1973.0,Magnum Force,"Action, Crime, Mystery",R,movie,7.2,124 min,Ted Post,"Harry Julian Fink (original material), Rita M. Fink (original material), John Milius (screenplay), Michael Cimino (screenplay), John Milius (story)","Clint Eastwood, Hal Holbrook, Mitchell Ryan, David Soul",English,USA,0,"43,614",tt0070355,2.0
17479,2002.0,The Ring,"Horror, Mystery",PG-13,movie,7.1,115 min,Gore Verbinski,"Ehren Kruger (screenplay), Kôji Suzuki (novel)","Naomi Watts, Martin Henderson, David Dorfman, Brian Cox",English,"USA, Japan",14 wins & 11 nominations.,"253,984",tt0298130,4.0
17508,2000.0,Requiem for a Dream,Drama,R,movie,8.4,102 min,Darren Aronofsky,"Hubert Selby Jr. (based on the book by), Hubert Selby Jr. (screenplay), Darren Aronofsky (screenplay)","Ellen Burstyn, Jared Leto, Jennifer Connelly, Marlon Wayans",English,USA,Nominated for 1 Oscar. Another 32 wins & 61 nominations.,"580,879",tt0180093,4.0
17540,2001.0,Son of the Bride,"Comedy, Drama",R,movie,7.9,123 min,Juan José Campanella,"Juan José Campanella, Fernando Castets","Ricardo Darín, Héctor Alterio, Norma Aleandro, Eduardo Blanco",Spanish,"Argentina, Spain",Nominated for 1 Oscar. Another 34 wins & 10 nominations.,"11,436",tt0292542,1.0
17555,2002.0,The Kid Stays in the Picture,"Documentary, Biography",R,movie,7.4,93 min,"Nanette Burstein, Brett Morgen","Robert Evans (book), Brett Morgen (screen adaptation)","Robert Evans, Eddie Albert, Peter Bart, Charlie Bluhdorn",English,USA,4 wins & 12 nominations.,"6,038",tt0303353,3.0
17559,2001.0,The Deep End,"Crime, Drama, Mystery",R,movie,6.7,101 min,"Scott McGehee, David Siegel","Elisabeth Sanxay Holding (novel), Scott McGehee, David Siegel","Tilda Swinton, Goran Visnjic, Jonathan Tucker, Peter Donat",English,USA,Nominated for 1 Golden Globe. Another 4 wins & 18 nominations.,"9,788",tt0250323,3.0
17589,2000.0,The Cell,"Horror, Sci-Fi, Thriller",R,movie,6.3,107 min,Tarsem Singh,Mark Protosevich,"Jennifer Lopez, Colton James, Dylan Baker, Marianne Jean-Baptiste",English,"USA, Germany",Nominated for 1 Oscar. Another 6 wins & 23 nominations.,"80,347",tt0209958,5.0
17622,2001.0,Vanilla Sky,"Fantasy, Mystery, Romance",R,movie,6.9,136 min,Cameron Crowe,"Alejandro Amenábar (film ""Abre Los Ojos""), Mateo Gil (film ""Abre Los Ojos""), Cameron Crowe (screenplay)","Tom Cruise, Penélope Cruz, Cameron Diaz, Kurt Russell","English, Spanish","USA, Spain",Nominated for 1 Oscar. Another 4 wins & 33 nominations.,"208,438",tt0259711,1.0
17692,2002.0,Scooby-Doo,"Adventure, Comedy, Family",PG,movie,4.9,86 min,Raja Gosnell,"James Gunn (screenplay), Craig Titley (story), James Gunn (story), William Hanna (characters), Joseph Barbera (characters)","Freddie Prinze Jr., Sarah Michelle Gellar, Matthew Lillard, Linda Cardellini",English,"USA, Australia",3 wins & 8 nominations.,"72,235",tt0267913,4.0
17761,2003.0,Levity,"Crime, Drama",R,movie,6.5,100 min,Ed Solomon,Ed Solomon,"Billy Bob Thornton, Morgan Freeman, Holly Hunter, Kirsten Dunst",English,"USA, France",1 win.,"5,777",tt0304328,3.0
17768,2000.0,Epoch,"Action, Drama, Fantasy",,movie,7.1,,Vincent Lee,David Tzeng,"Ho-Sung Pak, T.J. Storm, Robert Alonzo, Stephanie Cheeva",English,USA,0,17,tt0282466,4.0
